[2023-05-05 17:36:39][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.04.16.044693': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[3]/span[1]', Text: 'LukaszKrych', Fonuer Document ID: '557100'.
[2023-05-05 17:36:40][WARNING] LabelstudioToFonduer.to_fonduer:356: Doc: '10.1101.2020.05.31.20118554.html' Document ID: '[]' not found.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[1]/span[1]', Text: 'JessicaCheng', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'J.C.', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[2]/span[1]', Text: 'Joshua S.Clayton', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'J.S.C.', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[3]/span[1]', Text: 'Rafael D.Acemel', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'R.D.A.', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[4]/span[1]', Text: 'YeZheng', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'Y.Z.', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[7]/span[1]', Text: 'MartinFranke', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'M.F.', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[8]/span[1]', Text: 'Susan A.Boackle', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'S.A.B.', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[2]/span[1]', Text: 'Joshua S.Clayton', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'J.S.C.', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[1]/span[1]', Text: 'JessicaCheng', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'J.C.', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[2]/span[1]', Text: 'Joshua S.Clayton', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'J.S.C.', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[1]/div/div/div[1]/div[1]/span/span[11]/span[1]', Text: 'José L.Gómez-Skarmeta', Fonuer Document ID: '220087'.
[2023-05-05 18:10:11][WARNING] LabelstudioToFonduer.to_fonduer:451: Doc: '10.1101.2020.02.16.941070': No candidates found in Database that match: XPath: '/html/body/div[2]/section/div/div/div/div/div/div/div/div/div[1]/div/div/div[5]/div/div/div[2]/div/div/div/div/div/div/div/div/div[8]/p', Text: 'J.L.G.-S.', Fonuer Document ID: '220087'.
